"species","year","naxes","beta_total","beta_repl","beta_diff","vol_protected","vol_unprotected","disp_protected","disp_unprotected","delta_vol","delta_disp"
"Certhia familiaris","2012s",7,0.602,0.587,0.016,3.73082812295781,3.81546000110983,0.644993363380028,0.638831557538344,-0.0846318781520194,0.00616180584168413
"Certhia familiaris","2018s",7,0.704,0.685,0.019,2.45508633337182,2.38440175767823,0.596732837633995,0.593546584544305,0.0706845756935959,0.00318625308969012
"Corvus corax","2006s",7,0.999,0.997,0.002,0.0100882806743829,0.0100439171683731,0.688266811728262,0.689082166287757,4.43635060098334e-05,-0.000815354559495218
"Corvus corax","2012s",7,0.476,0.442,0.034,11.1251173536575,11.6263935008785,0.679902392759066,0.683733378434549,-0.501276147220953,-0.0038309856754829
"Corvus corax","2018s",7,0.409,0.381,0.028,15.1085558518138,15.6575382042253,0.62898678696315,0.634112516951576,-0.548982352411475,-0.0051257299884262
"Dendrocopos major","2000s",6,0.99,0.971,0.018,0.00114434358462624,0.00110331108733908,0.416844704600978,0.416935753478337,4.10324972871595e-05,-9.10488773595008e-05
"Dendrocopos major","2006s",7,0.504,0.469,0.035,6.84357601594371,7.17096633138836,0.627722311398141,0.628667884554201,-0.327390315444648,-0.000945573156060253
"Dendrocopos major","2012s",7,0.598,0.597,0.001,2.17655452437207,2.17452974490815,0.585066856188424,0.582729928112005,0.00202477946391699,0.00233692807641916
"Dendrocopos major","2018s",7,0.439,0.423,0.015,6.15930094621222,6.28230671995441,0.591286809147704,0.596763573158312,-0.123005773742192,-0.00547676401060759
"Loxia curvirostra","2006s",7,0.418,0.412,0.006,7.58758895127739,7.64994121859534,0.59565033580051,0.59890468333326,-0.0623522673179453,-0.00325434753274989
"Loxia curvirostra","2012s",7,0.273,0.251,0.022,28.6004357902261,29.332099774599,0.629709087008487,0.629768822296774,-0.731663984372851,-5.9735288286733e-05
"Loxia curvirostra","2018s",7,0.49,0.374,0.116,4.22996089567904,4.93446828682531,0.605186120912385,0.616471103087465,-0.704507391146268,-0.0112849821750804
"Loxia leucoptera","2012s",4,0.052,0.037,0.015,29607.8285619393,29156.8790226183,0.679231965335639,0.676286321481381,450.949539320995,0.00294564385425877
